source,target,weight,synapse_count
10620,11955,9,9
10625,10652,9,9
10625,13543,9,9
10625,15440,9,9
10625,19348,9,9
10625,20114,9,9
10625,27803,9,9
10630,10186,9,9
10640,153335,9,9
10646,14168,9,9
10646,27803,9,9
10662,26488,9,9
10673,11191,9,9
10679,11006,9,9
10679,11653,9,9
10679,11747,9,9
10685,11356,9,9
10689,10791,9,9
10689,11069,9,9
10689,11772,9,9
10689,13765,9,9
10690,11392,9,9
10690,19451,9,9
10691,13127,9,9
10691,16282,9,9
10691,160029,9,9
10692,11653,9,9
10692,100352,9,9
10707,10065,9,9
10707,22993,9,9
10728,11415,9,9
10728,11936,9,9
10728,18827,9,9
10728,21782,9,9
10728,21874,9,9
10755,169911,9,9
10768,10372,9,9
10768,10462,9,9
10768,10747,9,9
10768,11877,9,9
10768,18466,9,9
10771,14012,9,9
10771,14613,9,9
10771,25477,9,9
10779,10388,9,9
10779,18411,9,9
10780,11550,9,9
10780,13434,9,9
10780,15262,9,9
10791,16396,9,9
10793,102019,9,9
10794,11772,9,9
10794,18335,9,9
10810,10691,9,9
10810,10991,9,9
10826,15115,9,9
10826,18168,9,9
10826,18773,9,9
10853,15292,9,9
10853,15623,9,9
10853,22778,9,9
10883,11235,9,9
10883,14555,9,9
10884,10568,9,9
10884,12567,9,9
10884,37065,9,9
10899,10900,9,9
10899,11891,9,9
10899,13782,9,9
10899,20654,9,9
10899,154383,9,9
10920,13908,9,9
10920,15103,9,9
10927,26701,9,9
10939,10528,9,9
10939,10853,9,9
10939,11445,9,9
10960,157260,9,9
10972,12281,9,9
10972,13081,9,9
10974,11319,9,9
10974,13323,9,9
10974,21471,9,9
10983,17665,9,9
10984,11340,9,9
11006,27532,9,9
11006,28339,9,9
11011,11511,9,9
11023,13490,9,9
11023,27321,9,9
11030,10305,9,9
11030,12159,9,9
11037,12250,9,9
11052,19048,9,9
11062,12187,9,9
11062,15006,9,9
11062,21120,9,9
11065,10682,9,9
11065,10890,9,9
11065,11493,9,9
11066,10791,9,9
11066,14707,9,9
11069,12159,9,9
11069,27579,9,9
11110,14954,9,9
11110,17826,9,9
11126,17201,9,9
11129,10156,9,9
11133,14954,9,9
11134,11709,9,9
11134,102493,9,9
11152,12412,9,9
11162,23716,9,9
11165,10312,9,9
11182,10123,9,9
11187,10974,9,9
11187,31215,9,9
11187,158754,9,9
11191,18553,9,9
11195,10690,9,9
11195,26365,9,9
11223,10541,9,9
11223,11503,9,9
11223,12573,9,9
11223,22740,9,9
11223,153756,9,9
11224,13377,9,9
11258,16438,9,9
11264,11022,9,9
11264,11406,9,9
11264,11918,9,9
11264,11926,9,9
11264,22313,9,9
11282,13884,9,9
11282,18827,9,9
11288,10547,9,9
11288,10685,9,9
11288,13746,9,9
11289,11653,9,9
11289,12567,9,9
11289,12761,9,9
11297,10125,9,9
11297,10412,9,9
11316,11062,9,9
11316,18983,9,9
11319,12050,9,9
11319,18963,9,9
11319,21674,9,9
11319,21782,9,9
11323,11503,9,9
11323,152642,9,9
11323,153943,9,9
11336,10564,9,9
11336,19206,9,9
11340,11411,9,9
11340,13069,9,9
11340,19638,9,9
11348,11819,9,9
11354,11416,9,9
11354,12483,9,9
11354,20654,9,9
11354,153756,9,9
11356,10116,9,9
11356,12678,9,9
11367,219853,9,9
11368,11472,9,9
11368,157207,9,9
