node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
157517,IN11B032,VNC,0.5651863822117252,-0.267793713193592,0.5380595739391208,R,intrinsic neuron,gaba,position
157860,IN11B031,VNC,0.5651863822117252,-0.27220348990785775,0.551823422471526,R,intrinsic neuron,glutamate,position
158008,IN16B009,VNC,0.28189163571950215,1.35707537641593,-0.4553428531472878,R,intrinsic neuron,glutamate,position
158019,IN21A038,VNC,-0.3200428857777709,-0.5879702285687649,0.23485401743400097,L,intrinsic neuron,glutamate,position
158109,IN13B025,VNC,-0.25255993908976493,-1.9689653029196514,0.32612303245956153,L,intrinsic neuron,gaba,position
158132,IN06A075,VNC,-0.31322777631026927,-0.284163338875336,0.300867038550585,L,intrinsic neuron,glutamate,position
158191,IN11B030,VNC,0.5651863822117252,-0.26899637957020994,0.5444737946144165,R,intrinsic neuron,gaba,position
158242,AN07B077,VNC,-0.18106810447969918,1.923798498997778,-0.2778827477974424,L,ascending neuron,acetylcholine,position
158245,IN02A032,VNC,0.11452056497350716,0.18815047314200475,-0.17184766225896173,R,intrinsic neuron,glutamate,position
158432,IN16B022,VNC,0.4285501188681884,-1.5635331044020075,0.2758114890377115,R,intrinsic neuron,glutamate,position
158479,IN06A075,VNC,-0.3156331090635051,-0.284163338875336,0.30547725966095374,L,intrinsic neuron,glutamate,position
158694,Tr flexor MN,motor,-0.7527355221654211,0.886365119567413,0.33434125269978404,L,motor neuron,glutamate,position
158754,AN07B077,VNC,-0.15601255496682567,1.923798498997778,-0.29411874388178444,L,ascending neuron,acetylcholine,position
158769,Tr flexor MN,motor,0.5814223782960672,-0.5751417872181737,-0.04416458194135836,R,motor neuron,glutamate,position
158889,ltm2-femur MN,motor,-0.39380642354367046,-1.8660705129201174,0.8685255683142471,L,motor neuron,glutamate,position
159031,MNad08,VNC,0.351445841167239,-1.6766505586027938,1.4142688441039826,R,motor neuron,unknown,position
159203,AN07B067,VNC,0.14285003962272946,1.1442034277545565,-0.502714545426294,L,ascending neuron,acetylcholine,position
159251,IN19A036,VNC,-0.7975682520937893,-0.35912954301785355,0.4977702503224203,L,intrinsic neuron,gaba,position
159614,IN09A032,VNC,0.586099414205137,1.5690119178954893,-0.44578833693304537,R,intrinsic neuron,gaba,position
159648,IN13B026,VNC,-0.35739235825162763,0.9777677641903756,-0.651978805724319,R,intrinsic neuron,gaba,position
159685,IN04B045,VNC,-0.08144723961651414,-1.6687664123560764,0.8905744518855758,L,intrinsic neuron,acetylcholine,position
159762,Tergotr. MN,motor,-0.4624252218095934,-1.5684105847071803,1.0204624205603121,L,motor neuron,acetylcholine,position
159822,Tr flexor MN,motor,0.7899513650418758,0.753136410957627,0.004944295103873704,R,motor neuron,unknown,position
159900,IN06A062,VNC,0.24207001569370853,-0.9607968053203226,0.7556753733082648,R,intrinsic neuron,gaba,position
159959,IN06A078,VNC,0.4128486411734543,0.5626474198610874,-0.251090013518343,R,intrinsic neuron,gaba,position
160029,IN20A.22A018,VNC,-0.4967680283419053,-0.7674347778796401,0.08345168357754401,L,intrinsic neuron,acetylcholine,position
160183,IN14A002,VNC,0.023117920350544618,1.1444038721506595,-0.7009540531721491,R,intrinsic neuron,glutamate,position
162396,IN07B080,VNC,-0.2694640831611169,-1.053602560716006,1.4093245490001087,L,intrinsic neuron,acetylcholine,position
162539,IN13A003,VNC,-0.3412899917646876,1.238011405130755,-0.6158319996270802,L,intrinsic neuron,gaba,position
162543,IN15A001,VNC,-0.47204655282253677,1.439925726805165,-0.3307332535699302,L,intrinsic neuron,acetylcholine,position
162649,IN13A023,VNC,0.22984290753142628,-2.144955482698075,0.40255916217350096,R,intrinsic neuron,gaba,position
162783,IN12A054,VNC,0.1774601053498454,-0.31409636869338226,0.2836288204857281,R,intrinsic neuron,acetylcholine,position
162830,ltm1-tibia MN,motor,0.6705533197631959,0.17291669903817766,-0.5898410429323927,R,motor neuron,glutamate,position
162833,Tr extensor MN,motor,0.7105085693863915,0.15848470251876254,-0.5359883151793899,R,motor neuron,glutamate,position
162868,Acc. ti flexor MN,motor,0.5914445981012166,-0.09053405223984959,-0.5875693397765589,R,motor neuron,glutamate,position
162912,Tr extensor MN,motor,-0.8456080923598055,-1.6252031636030269,0.7155196792889662,L,motor neuron,glutamate,position
